sma,buy,sell,score,avg_cagr,median_cagr,p25_cagr,win_rate_cagr_gt_30,avg_sharpe,avg_dd,worst_dd
175,0,7,0.3155580775234497,0.32001625357623353,0.33016444663117506,0.2670566476218623,0.57,0.8382732157242601,-0.58007881874531,-0.6450852542782743
125,1,2,0.31550668542237964,0.31966607536405933,0.35051391216456285,0.24302081887921823,0.58,0.8293000805926196,-0.5140573004005228,-0.548511331137824
200,0,1,0.31471784280041354,0.30119673960636567,0.31150106700195423,0.25711249188117513,0.57,0.8204611526619701,-0.5144564651494463,-0.553221389264696
200,8,1,0.3145025648332574,0.28823613389888647,0.301490454583037,0.25243249236225473,0.51,0.8402519242101476,-0.46001734412548523,-0.5546965927481389
175,2,6,0.3133207155508616,0.31953336661346843,0.32644754862445025,0.26844503683619503,0.62,0.8440208909130607,-0.5924219618111298,-0.6581199915960028
100,0,5,0.3128935091662116,0.33200398589893715,0.3326006449298671,0.26855788567378647,0.68,0.8551892424713359,-0.5814784697670994,-0.7071232525868327
250,5,1,0.3114845351458931,0.3001051725917589,0.3245149880332987,0.23985948453855643,0.56,0.8456878559319044,-0.4700033295871799,-0.5320982412840864
125,7,7,0.31058277037925697,0.31037078585782685,0.30806734993051843,0.26286042517890595,0.55,0.8527316421662231,-0.5308667349613647,-0.6461575045326453
175,5,0,0.30952943685465306,0.2924926235360113,0.31385363365644126,0.24314393335570395,0.54,0.8230752093671996,-0.4674955075147719,-0.5320982412840864
150,3,6,0.30934015823195843,0.3240466940268395,0.32905524669044617,0.26421629529579493,0.6,0.8457732017465172,-0.5991277532134478,-0.6581199915960028
200,2,1,0.3091762878860065,0.304944834035009,0.3144777739700273,0.254205250400676,0.61,0.8341051050997444,-0.5215909241376191,-0.5923368091564429
225,3,1,0.30887158921710395,0.2875062036840382,0.2997362712984004,0.2552954312331823,0.49,0.803655563423861,-0.5068731466846992,-0.5479920444226354
200,6,2,0.30842844871849023,0.2896760970507585,0.297480029083975,0.24975830732763993,0.49,0.815818892108649,-0.47919630024020177,-0.5320982412840862
100,4,7,0.3084026979220273,0.31950026652460034,0.31548582422387716,0.2688386425328686,0.58,0.8358940643710998,-0.6052841320762596,-0.6509341238973515
200,1,8,0.3082906705816044,0.3138053688902578,0.3274520000749064,0.26197092311249004,0.6,0.8208969590535977,-0.5665682883227113,-0.6597201468266534
175,2,4,0.3080973076060259,0.3164418575873132,0.3265405265098762,0.26025156990405773,0.67,0.8433133271213731,-0.5674709465549842,-0.6581199915960028
150,3,0,0.3078183140211649,0.30756894104448607,0.32836383164703054,0.23485791050553684,0.58,0.8405242182612332,-0.46665875744435587,-0.5320982412840864
200,4,3,0.30760983436774875,0.3038813819738672,0.3238479062261552,0.2587636325124021,0.59,0.8366603973154331,-0.5468449829120167,-0.6581199915960029
125,4,3,0.3065615152517977,0.32058403402347224,0.3497303011924915,0.23923425499214113,0.64,0.8540934008960973,-0.5161877902861254,-0.6146328239506815
150,2,5,0.3062496471513783,0.3183666286463653,0.31968540760807374,0.26279522259273524,0.59,0.8418308035579901,-0.5830827769101801,-0.6581199915960028
